match_index,agent_id,team_name,paradigm,kills,shots_hit,shots_missed,survival_time,alive_at_end
80,1-2,Equipe 1,CTDE-VD,3,3,4,3.600000000000002,1
80,1-3,Equipe 1,CTDE-VD,2,2,3,3.600000000000002,1
80,2-1,Equipe 2,CTDE-CAC,0,0,1,0.7999999999999999,0
80,2-2,Equipe 2,CTDE-CAC,0,0,1,1.0999999999999999,0
80,2-3,Equipe 2,CTDE-CAC,0,0,4,3.600000000000002,0
80,3-1,Equipe 3,CTDE-Comm,0,0,1,0.5,0
80,3-2,Equipe 3,CTDE-Comm,1,1,4,3.0000000000000013,0
80,3-3,Equipe 3,CTDE-Comm,0,0,1,0.2,0
90,1-1,Equipe 1,CTDE-VD,0,0,2,1.0999999999999999,1
90,1-2,Equipe 1,CTDE-VD,2,2,0,1.0999999999999999,1
90,1-3,Equipe 1,CTDE-VD,1,1,1,1.0999999999999999,1
90,2-1,Equipe 2,CTDE-CAC,0,0,0,0.1,0
90,2-2,Equipe 2,CTDE-CAC,1,1,0,0.4,0
90,2-3,Equipe 2,CTDE-CAC,1,1,0,0.4,0
90,3-1,Equipe 3,CTDE-Comm,1,1,1,1.0999999999999999,0
90,3-2,Equipe 3,CTDE-Comm,0,0,1,0.2,0
90,3-3,Equipe 3,CTDE-Comm,0,0,0,0.1,0
100,1-1,Equipe 1,CTDE-VD,0,0,1,0.30000000000000004,0
100,1-2,Equipe 1,CTDE-VD,0,0,7,3.4000000000000017,0
100,1-3,Equipe 1,CTDE-VD,0,0,1,0.2,0
100,2-1,Equipe 2,CTDE-CAC,1,1,3,3.4000000000000017,1
100,2-2,Equipe 2,CTDE-CAC,3,3,4,3.4000000000000017,1
100,2-3,Equipe 2,CTDE-CAC,0,0,6,3.4000000000000017,1
100,3-1,Equipe 3,CTDE-Comm,1,1,0,0.30000000000000004,0
100,3-2,Equipe 3,CTDE-Comm,1,1,1,0.7999999999999999,0
100,3-3,Equipe 3,CTDE-Comm,0,0,1,0.4,0
110,1-1,Equipe 1,CTDE-VD,1,1,6,3.600000000000002,1
110,1-2,Equipe 1,CTDE-VD,1,1,0,0.30000000000000004,0
110,1-3,Equipe 1,CTDE-VD,4,4,3,3.600000000000002,1
110,2-1,Equipe 2,CTDE-CAC,0,0,1,0.30000000000000004,0
110,2-2,Equipe 2,CTDE-CAC,1,1,0,0.2,0
110,2-3,Equipe 2,CTDE-CAC,0,0,1,0.4,0
110,3-1,Equipe 3,CTDE-Comm,0,0,2,2.1000000000000005,0
110,3-2,Equipe 3,CTDE-Comm,0,0,3,1.6000000000000003,0
110,3-3,Equipe 3,CTDE-Comm,0,0,6,3.600000000000002,0
120,1-1,Equipe 1,CTDE-VD,3,3,3,3.5000000000000018,0
120,1-2,Equipe 1,CTDE-VD,0,0,1,0.30000000000000004,0
120,1-3,Equipe 1,CTDE-VD,1,1,12,24.500000000000078,1
120,2-1,Equipe 2,CTDE-CAC,1,1,5,2.700000000000001,0
120,2-2,Equipe 2,CTDE-CAC,0,0,1,1.5000000000000002,0
120,2-3,Equipe 2,CTDE-CAC,1,1,13,24.500000000000078,0
120,3-1,Equipe 3,CTDE-Comm,0,0,1,0.7,0
120,3-2,Equipe 3,CTDE-Comm,2,2,1,1.8000000000000005,0
120,3-3,Equipe 3,CTDE-Comm,0,0,0,0.2,0
130,1-1,Equipe 1,CTDE-VD,1,1,4,11.699999999999974,1
130,1-2,Equipe 1,CTDE-VD,0,0,4,11.699999999999974,1
130,1-3,Equipe 1,CTDE-VD,1,1,6,3.700000000000002,0
130,2-1,Equipe 2,CTDE-CAC,3,3,5,3.600000000000002,0
130,2-2,Equipe 2,CTDE-CAC,0,0,2,0.9999999999999999,0
130,2-3,Equipe 2,CTDE-CAC,0,0,1,0.4,0
130,3-1,Equipe 3,CTDE-Comm,0,0,1,0.8999999999999999,0
130,3-2,Equipe 3,CTDE-Comm,1,1,6,11.699999999999974,0
130,3-3,Equipe 3,CTDE-Comm,1,1,0,0.4,0
140,1-1,Equipe 1,CTDE-VD,0,0,1,0.6,0
140,1-2,Equipe 1,CTDE-VD,3,3,8,17.899999999999984,0
140,1-3,Equipe 1,CTDE-VD,1,1,31,13.599999999999968,0
140,2-1,Equipe 2,CTDE-CAC,0,0,31,17.899999999999984,1
140,2-2,Equipe 2,CTDE-CAC,3,3,30,17.899999999999984,0
140,2-3,Equipe 2,CTDE-CAC,0,0,33,17.899999999999984,1
140,3-1,Equipe 3,CTDE-Comm,0,0,1,0.30000000000000004,0
140,3-2,Equipe 3,CTDE-Comm,0,0,1,0.6,0
140,3-3,Equipe 3,CTDE-Comm,0,0,1,0.2,0
150,1-1,Equipe 1,CTDE-VD,1,1,1,3.5000000000000018,0
150,1-2,Equipe 1,CTDE-VD,1,1,0,1.6000000000000003,0
150,1-3,Equipe 1,CTDE-VD,2,2,0,17.099999999999973,1
150,2-1,Equipe 2,CTDE-CAC,1,1,4,3.2000000000000015,0
150,2-2,Equipe 2,CTDE-CAC,3,3,1,3.600000000000002,0
150,2-3,Equipe 2,CTDE-CAC,0,0,1,1.2,0
150,3-1,Equipe 3,CTDE-Comm,0,0,4,2.700000000000001,0
150,3-2,Equipe 3,CTDE-Comm,0,0,4,2.9000000000000012,0
150,3-3,Equipe 3,CTDE-Comm,0,0,2,17.099999999999973,0
160,1-1,Equipe 1,CTDE-VD,2,2,2,3.1000000000000014,0
160,1-2,Equipe 1,CTDE-VD,0,0,0,0.30000000000000004,0
160,1-3,Equipe 1,CTDE-VD,0,0,3,1.8000000000000005,0
160,2-1,Equipe 2,CTDE-CAC,1,1,1,0.7,0
160,2-2,Equipe 2,CTDE-CAC,0,0,2,0.8999999999999999,0
160,2-3,Equipe 2,CTDE-CAC,2,2,4,3.1000000000000014,1
160,3-1,Equipe 3,CTDE-Comm,2,2,0,0.6,0
160,3-2,Equipe 3,CTDE-Comm,1,1,1,0.7999999999999999,0
160,3-3,Equipe 3,CTDE-Comm,0,0,2,1.0999999999999999,0
170,1-1,Equipe 1,CTDE-VD,0,0,1,6.499999999999993,0
170,1-2,Equipe 1,CTDE-VD,1,1,1,7.29999999999999,0
170,1-3,Equipe 1,CTDE-VD,0,0,2,4.999999999999998,0
170,2-1,Equipe 2,CTDE-CAC,3,3,2,7.29999999999999,1
170,2-2,Equipe 2,CTDE-CAC,1,1,0,0.2,0
170,2-3,Equipe 2,CTDE-CAC,1,1,0,7.29999999999999,1
170,3-1,Equipe 3,CTDE-Comm,0,0,1,0.30000000000000004,0
170,3-2,Equipe 3,CTDE-Comm,0,0,1,0.6,0
170,3-3,Equipe 3,CTDE-Comm,1,1,0,0.30000000000000004,0
180,1-1,Equipe 1,CTDE-VD,0,0,8,3.2000000000000015,0
180,1-2,Equipe 1,CTDE-VD,0,0,12,4.899999999999999,0
180,1-3,Equipe 1,CTDE-VD,1,1,10,4.300000000000001,0
180,2-1,Equipe 2,CTDE-CAC,1,1,5,90.9999999999991,1
180,2-2,Equipe 2,CTDE-CAC,0,0,6,90.9999999999991,1
180,2-3,Equipe 2,CTDE-CAC,0,0,7,90.9999999999991,1
180,3-1,Equipe 3,CTDE-Comm,0,0,12,90.9999999999991,1
180,3-2,Equipe 3,CTDE-Comm,2,2,8,90.9999999999991,1
180,3-3,Equipe 3,CTDE-Comm,0,0,6,2.1000000000000005,0
190,1-1,Equipe 1,CTDE-VD,0,0,2,0.7999999999999999,0
190,1-2,Equipe 1,CTDE-VD,1,1,0,0.2,0
190,1-3,Equipe 1,CTDE-VD,2,2,0,0.7,0
190,2-1,Equipe 2,CTDE-CAC,0,0,0,0.8999999999999999,1
190,2-2,Equipe 2,CTDE-CAC,1,1,0,0.8999999999999999,1
190,2-3,Equipe 2,CTDE-CAC,0,0,0,0.8999999999999999,1
190,3-1,Equipe 3,CTDE-Comm,0,0,1,0.30000000000000004,0
190,3-2,Equipe 3,CTDE-Comm,1,1,1,0.8999999999999999,0
190,3-3,Equipe 3,CTDE-Comm,1,1,0,0.2,0
200,1-1,Equipe 1,CTDE-VD,0,0,1,0.8999999999999999,0
200,1-2,Equipe 1,CTDE-VD,0,0,1,0.30000000000000004,0
200,1-3,Equipe 1,CTDE-VD,0,0,2,1.4000000000000001,0
200,2-1,Equipe 2,CTDE-CAC,2,2,0,1.4000000000000001,1
200,2-2,Equipe 2,CTDE-CAC,1,1,1,1.4000000000000001,1
200,2-3,Equipe 2,CTDE-CAC,1,1,2,1.4000000000000001,1
200,3-1,Equipe 3,CTDE-Comm,0,0,0,0.1,0
200,3-2,Equipe 3,CTDE-Comm,1,1,0,0.7,0
200,3-3,Equipe 3,CTDE-Comm,1,1,1,0.7,0
210,1-1,Equipe 1,CTDE-VD,1,1,3,3.900000000000002,0
210,1-2,Equipe 1,CTDE-VD,0,0,10,47.3000000000004,0
210,1-3,Equipe 1,CTDE-VD,1,1,3,115.5999999999977,1
210,2-1,Equipe 2,CTDE-CAC,0,0,15,8.499999999999986,0
210,2-2,Equipe 2,CTDE-CAC,2,2,33,115.5999999999977,1
210,2-3,Equipe 2,CTDE-CAC,0,0,5,3.3000000000000016,0
210,3-1,Equipe 3,CTDE-Comm,1,1,11,9.299999999999983,0
210,3-2,Equipe 3,CTDE-Comm,0,0,9,23.20000000000006,0
210,3-3,Equipe 3,CTDE-Comm,2,2,4,3.700000000000002,0
220,1-1,Equipe 1,CTDE-VD,0,0,1,1.3,1
220,1-2,Equipe 1,CTDE-VD,2,2,0,1.3,1
220,1-3,Equipe 1,CTDE-VD,0,0,1,1.3,1
220,2-1,Equipe 2,CTDE-CAC,1,1,1,0.7999999999999999,0
220,2-2,Equipe 2,CTDE-CAC,1,1,2,1.3,0
220,2-3,Equipe 2,CTDE-CAC,1,1,0,0.30000000000000004,0
220,3-1,Equipe 3,CTDE-Comm,0,0,0,0.1,0
220,3-2,Equipe 3,CTDE-Comm,1,1,2,1.3,0
220,3-3,Equipe 3,CTDE-Comm,0,0,1,0.6,0
230,1-1,Equipe 1,CTDE-VD,3,3,1,2.0000000000000004,1
230,1-2,Equipe 1,CTDE-VD,1,1,0,0.1,0
230,1-3,Equipe 1,CTDE-VD,0,0,1,0.30000000000000004,0
230,2-1,Equipe 2,CTDE-CAC,0,0,2,0.9999999999999999,0
230,2-2,Equipe 2,CTDE-CAC,1,1,2,1.5000000000000002,0
230,2-3,Equipe 2,CTDE-CAC,1,1,2,2.0000000000000004,0
230,3-1,Equipe 3,CTDE-Comm,1,1,0,0.1,0
230,3-2,Equipe 3,CTDE-Comm,1,1,0,0.30000000000000004,0
230,3-3,Equipe 3,CTDE-Comm,0,0,1,0.2,0
