team_name,paradigm,win_rate,eliminations_per_match,mean_survival_time,shots_hit,shots_missed,shot_accuracy
Equipe 1,CTE,0.27391304347826084,1.7173913043478262,9.627391304347817,790,8959,0.08103395220022566
Equipe 2,DTE,0.2543478260869565,1.8434782608695652,8.587173913043483,848,9587,0.08126497364638237
Equipe 3,CTDE,0.4717391304347826,3.4152173913043478,9.929202898550718,1571,10663,0.12841262056563674
